code,locality,province,locality_url,event_count
eastern-region,Eastern Region,Uganda,/events/uganda/eastern-region,0
eastern-cape,Eastern Cape,South Africa,/events/south-africa/eastern-cape,0
durbanville,Durbanville  ,Western Cape,/events/south-africa/western-cape/durbanville,0
arua,ARUA,Northern Region,/events/uganda/northern-region/arua,0
craighall-park,Craighall Park ,Gauteng,/events/south-africa/gauteng/craighall-park,0
central-region,Central Region,Uganda,/events/uganda/central-region,0
western-region,Western Region,Uganda,/events/uganda/western-region,0
western-cape,Western Cape,South Africa,/events/south-africa/western-cape,0
west-kaap,West-Kaap,South Africa,/events/south-africa/west-kaap,0
wes-kaap,Wes-Kaap,South Africa,/events/south-africa/wes-kaap,0
